NAME,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,SIMPLIFIED_MENU,MENU_TYPE,UNITS,EMPLOYEES,YEARS_IN_BUSINESS,ANNUAL_SALES,AVERAGE_CHECK,NUMBER_OF_ROOMS,FOOD_BEVERAGE_PURCHASE,FOOD_PURCHASE,BEVERAGE_PURCHASE,TOTAL_CATEGORY_DRY,TOTAL_CATEGORY_FRESH,TOTAL_CATEGORY_FROZEN,TOTAL_CATEGORY_PROTEIN,% Share of F&B Purchases from Company
LOGAN'S ROADHOUSE,ROANOKE RAPIDS,NC,27870,5076,37083,HALIFAX,,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","STEAK, SEAFOOD & FISH",FAMILY STEAK / CHOPHOUSE,101-250 UNITS,OVER 50,5 YEARS PLUS,"$2,500,001 - $5,000,000",$10 TO $15,NOT APPLICABLE,929849.956422342,870899.749027441,58950.2073949016,120831.64057187,162411.621110079,154812.146860276,373351.313501043,0.4535395339
WHATABURGER,CONCORD,NC,28025,3512,37025,CABARRUS,1520,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",HAMBURGERS,HAMBURGERS,501+ UNITS,20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",$5 TO $7,NOT APPLICABLE,454144.0932,380334.32769563,73809.7655043702,71215.3976483291,38915.517840617,84749.3499640103,123751.346733162,0.662882395
CHINA SHUTTLE,CONCORD,NC,28025,2809,37025,CABARRUS,1520,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CHINESE,CHINESE,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,65756.6424302696,61743.5755352982,4013.06689497146,9861.97913698091,12737.1253623007,9156.46832179689,24404.6052951289,0.1136766445
TONYS PIZZA,HUNTERSVILLE,NC,28078,7605,37119,MECKLENBURG,1520,LSR - QUICK CASUAL,"PIZZA, PASTA & ITALIAN",PIZZERIA,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,112040.307438216,103083.054345221,8957.25309299528,18127.7741167762,14928.7551549921,19482.0254772647,33056.5292717683,0.8208971691
MCDONALD'S,CHARLOTTE,NC,28210,3237,37119,MECKLENBURG,1520,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",HAMBURGERS,HAMBURGERS,501+ UNITS,20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",$5 TO $7,NOT APPLICABLE,728371.3509,609992.802296144,118378.548603856,114217.615436761,62413.9975064267,135923.816791774,198476.512070437,0.4986352548
HOOPERS TAVERN,CHARLOTTE,NC,28214,9598,37119,MECKLENBURG,1520,NEIGHBORHOOD BARS & TAVERNS,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",NOT APPLICABLE,NOT APPLICABLE,,,,,,,,#NA
TRICOR INCORPORATED SONNYS REAL PIT BAR B Q,CHARLOTTE,NC,28226,0418,37119,MECKLENBURG,1520,LSR - QUICK CASUAL,BBQ,BARBECUE,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"$1,000,001 - $2,500,000",$7 TO $10,NOT APPLICABLE,641554.731,576830.783012918,64723.9479870823,103695.298679833,98353.0045602647,109243.065650155,211979.491026476,0.1440615909
NAKATO,CHARLOTTE,NC,28226,4714,37119,MECKLENBURG,1520,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER ASIAN,JAPANESE,INDEPENDENT (1-9 UNITS),20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",$15 TO $20,NOT APPLICABLE,311113.563328164,292126.59113151,18986.9721966542,46659.8560598307,60262.9987111199,43321.8817417044,115465.197649597,0.4544150156
CONTINENTAL CAFE EUTAW SHP CTR,FAYETTEVILLE,NC,28303,4152,37051,CUMBERLAND,2560,"FSR - CAF╔-RESTAURANTS, FAMILY-STYLE, DINER",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$10 TO $15,NOT APPLICABLE,55955.8473048619,50720.6243348665,5235.22296999547,6907.91192341331,9050.12760059755,12841.5558950113,17384.2269474513,0.07567156934
BOJANGLES' FAMOUS CHICKEN 'N BISCUITS,HOPE MILLS,NC,28348,1722,37051,CUMBERLAND,2560,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",CHICKEN,FRIED CHICKEN,501+ UNITS,20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",$5 TO $7,NOT APPLICABLE,498175.2396,412416.351540581,85758.8880594191,82744.5158956434,45215.5824566357,98469.4906833401,114294.944543163,0.4637571787
